bigram,Freq_D,Freq_R
great countri,209,112
senior senat,282,151
assault militari,115,62
also thank,128,69
us court,98,53
child tax,96,52
colleagu senat,575,308
strongli urg,109,59
militari justic,122,66
home state,927,497
govern work,133,72
insur compani,562,302
infrastructur project,105,57
floor talk,131,71
senat bill,349,188
live line,103,56
rise strong,244,132
appropri committe,543,293
rule xviii,164,89
paul ryan,108,59
rural america,95,52
floor say,104,57
import step,200,109
sexual assault,929,504
readi go,91,50
sinc great,102,56
also help,137,75
thank senat,838,456
us depart,179,98
say thank,131,72
work help,96,53
elect offici,129,71
quorum call,1024,559
budget deal,94,52
gener counsel,94,52
yield addit,94,52
hj re,191,105
colleagu new,114,63
act make,92,51
govern make,92,51
percent percent,315,173
fellow citizen,123,68
famili would,101,56
chair committe,90,50
use forc,90,50
speaker let,163,90
save money,307,169
includ bill,99,55
bill vote,181,100
look job,119,66
vote clotur,166,92
vote hous,146,81
clean air,215,119
presid georg,155,86
senat new,291,161
sign presid,124,69
million american,1610,889
committe senat,256,142
percent american,294,163
hr would,245,136
health servic,163,91
countri includ,89,50
confer committe,325,181
also need,130,73
bill time,130,73
immigr system,529,295
bill hope,121,68
american economi,236,132
veteran benefit,103,58
good work,171,96
vote act,144,81
let work,117,66
senat sander,108,61
friend senat,183,103
chuck hagel,90,51
foster care,149,84
differ way,115,65
everyon know,115,65
long overdu,140,79
educ program,113,64
day day,220,124
job done,154,87
advisori committe,95,54
time vote,102,58
way work,118,67
get rid,294,166
want work,237,134
recogn import,109,62
mani other,272,154
restor act,91,52
say word,114,65
long term,176,100
provid servic,98,56
would extend,89,51
take action,409,232
