trigram,Freq_D,Freq_R
care reform law,42,9
unanim consent proceed,42,9
democrat four republican,20,5
food safeti inspect,20,5
individu small group,20,5
peopl everi day,20,5
postpon chair order,20,5
reform bill pass,20,5
sure presid offic,20,5
want thank congressman,31,7
interest rate percent,47,10
proceed vote passag,47,10
mr presid understand,79,16
pass afford care,36,8
pass budget senat,36,8
three time pass,52,11
access higher educ,25,6
live million american,25,6
live poverti line,25,6
make sure pay,25,6
nation heritag area,25,6
new york thank,25,6
reduc carbon emiss,25,6
senat menendez senat,25,6
work togeth work,25,6
follow regular order,41,9
health insur program,41,9
help million american,41,9
emerg unemploy compens,62,13
get bill done,46,10
farm bill make,30,7
immigr reform would,30,7
print record conclus,30,7
san joaquin valley,30,7
student across countri,30,7
nation institut health,322,63
bipartisan budget act,56,12
ms jackson lee,97,20
chair appropri committe,40,9
california mr waxman,19,5
consider hr receiv,19,5
democrat republican presid,19,5
feder district judg,19,5
food stamp snap,19,5
home energi assist,19,5
intellig surveil court,19,5
life public servic,19,5
minut distinguish gentlewoman,19,5
mr speaker unavoid,19,5
o c land,19,5
serv us attorney,19,5
specif select term,19,5
unanim well qualifi,19,5
work famili across,19,5
come long way,55,12
care afford care,24,6
congress take action,24,6
consum product safeti,24,6
minimum wage bill,24,6
rank member miller,24,6
senior senat texa,24,6
suprem court upheld,24,6
us take action,24,6
presid offic know,105,22
care act aca,29,7
confer cathol bishop,29,7
let get work,29,7
stop play game,29,7
survivor sexual assault,29,7
pass budget resolut,34,8
presid offic senat,34,8
senat shaheen portman,34,8
career public servic,39,9
minut gentlewoman new,39,9
would hope could,39,9
social safeti net,69,15
pass immigr reform,74,16
senat pass budget,109,23
mr presid ask,3145,641
violenc sexual assault,43,10
chair budget committe,38,9
minut gentleman oregon,38,9
vote first vote,38,9
repeal health care,33,8
budget confer committe,28,7
privat health care,28,7
senat frank lautenberg,28,7
us pass bill,28,7
third time pass,135,29
climat chang global,23,6
gentlewoman california mr,23,6
invest research develop,23,6
judiciari committe hear,23,6
let us work,23,6
medicar prescript drug,23,6
presid today introduc,23,6
put ga car,23,6
senat collin senat,23,6
us get done,23,6
vote keyston pipelin,23,6
wo nt let,23,6
work good faith,23,6
yield back remain,23,6
america around world,18,5
balanc approach deficit,18,5
care act fact,18,5
clotur vote nomin,18,5
commun around countri,18,5
dover air forc,18,5
energi assist program,18,5
fallen hard time,18,5
gentleman california postpon,18,5
greatest challeng face,18,5
gun hand crimin,18,5
hous continu resolut,18,5
make sure countri,18,5
privat sector invest,18,5
research nation institut,18,5
senat vermont mr,18,5
senat work hard,18,5
send job oversea,18,5
struggl find job,18,5
time get done,18,5
today introduc bill,18,5
us postal servic,18,5
want go work,18,5
new york state,66,15
take next step,32,8
victim domest violenc,84,19
move countri forward,65,15
abl move forward,27,7
come togeth make,27,7
improv energi effici,27,7
natur resourc defens,27,7
republican democrat vote,27,7
senat murray senat,27,7
yield floor senat,27,7
access afford health,41,10
senat rhode island,69,16
get social secur,22,6
hous financ agenc,22,6
justic suprem court,22,6
mani part countri,22,6
senat patti murray,22,6
day govern shutdown,36,9
job home act,36,9
mani republican colleagu,36,9
texa ms jackson,73,17
know presid offic,59,14
time pass motion,165,37
access qualiti afford,54,13
background check system,54,13
energi effici improv,31,8
home state illinoi,31,8
unanim consent yield,31,8
came senat floor,17,5
care act let,17,5
climat chang nt,17,5
could move forward,17,5
employ contribut health,17,5
final let say,17,5
final passag bill,17,5
first came senat,17,5
food peac program,17,5
go get done,17,5
great state new,17,5
hit ground run,17,5
know colleagu side,17,5
madam presid go,17,5
men women come,17,5
metropolitan polic depart,17,5
nation yield floor,17,5
prosecut sexual assault,17,5
republican nt want,17,5
senior senat iowa,17,5
speaker mr speaker,17,5
thank colleagu california,17,5
thank gentleman massachusett,17,5
today join colleagu,17,5
underli bill hr,17,5
us financi institut,17,5
work everi singl,17,5
